Timestamp,Latitude,Longitude,#Responders,Police,Priority,Service Time
2014-05-14 00:00:00-05:00,41.736001378000005,-87.73118392200001,2,1,2,0 days 00:19:00
2014-05-14 00:00:00-05:00,41.901660299,-87.73234093299999,2,1,1,0 days 00:18:00
2014-05-14 00:00:00-05:00,41.981064556,-87.664885273,2,1,2,0 days 00:16:00
2014-05-14 00:00:00-05:00,41.930448566,-87.665520571,2,1,2,0 days 00:25:00
2014-05-14 00:01:00-05:00,41.733602386,-87.617681873,2,0,3,0 days 00:27:00
2014-05-14 00:01:00-05:00,41.899862799,-87.728677214,2,0,3,0 days 00:22:00
2014-05-14 00:01:00-05:00,41.65905663,-87.63527931,2,1,1,0 days 00:15:00
2014-05-14 00:01:00-05:00,41.735321624,-87.60478810299999,2,0,3,0 days 00:34:00
2014-05-14 00:01:00-05:00,41.806958884000004,-87.741916144,2,0,3,0 days 00:18:00
2014-05-14 00:01:00-05:00,41.76369501,-87.69178173600001,2,0,3,0 days 00:23:00
2014-05-14 00:04:00-05:00,41.791001308,-87.71083830200001,2,1,2,0 days 00:18:00
2014-05-14 00:06:00-05:00,41.957575319,-87.70492931700001,2,0,3,0 days 00:22:00
2014-05-14 00:10:00-05:00,41.967098211999996,-87.76008030700001,2,1,1,0 days 00:25:00
2014-05-14 00:10:00-05:00,41.887731576,-87.76543983799999,2,1,1,0 days 00:24:00
2014-05-14 00:12:00-05:00,41.809473495,-87.610609681,2,0,3,0 days 00:21:00
2014-05-14 00:13:00-05:00,41.879328725,-87.72317915100001,2,1,1,0 days 00:26:00
2014-05-14 00:15:00-05:00,41.725777091,-87.661566971,2,0,3,0 days 00:26:00
2014-05-14 00:15:00-05:00,41.908265588,-87.625877455,2,0,3,0 days 00:27:00
2014-05-14 00:22:00-05:00,41.924772989000004,-87.701304735,2,0,3,0 days 00:23:00
2014-05-14 00:24:00-05:00,42.002573997,-87.65933280600001,2,0,3,0 days 00:18:00
2014-05-14 00:27:00-05:00,41.772171005,-87.66557387600001,2,1,2,0 days 00:27:00
2014-05-14 00:30:00-05:00,41.764221922,-87.684452865,2,1,2,0 days 00:23:00
2014-05-14 00:30:00-05:00,41.940028593,-87.820267144,2,1,2,0 days 00:22:00
2014-05-14 00:30:00-05:00,41.915187259,-87.775425225,2,0,3,0 days 00:24:00
2014-05-14 00:30:00-05:00,41.892404336999995,-87.70523063,2,1,2,0 days 00:23:00
2014-05-14 00:30:00-05:00,41.897673314,-87.726156082,2,0,3,0 days 00:20:00
2014-05-14 00:35:00-05:00,41.877398158000005,-87.74930869,2,0,3,0 days 00:29:00
2014-05-14 00:42:00-05:00,41.904263075,-87.691985404,2,1,1,0 days 00:48:00
2014-05-14 00:44:00-05:00,41.72480338,-87.630007386,2,0,3,0 days 00:27:00
2014-05-14 00:52:00-05:00,41.751296316,-87.60436928600001,2,0,3,0 days 00:28:00
2014-05-14 01:00:00-05:00,41.95861546,-87.770539065,2,0,3,0 days 00:20:00
